"ID",Name,Description,Kind,Parent,Ensure Scope Line Item,Type,Category,Subcategory,Category ID,Subcategory ID,Markup Type,Unit,Default Quantity,PC/PS,Low Limit Pricing Threshold,High Limit Pricing Threshold,Maximum Limit Pricing Threshold,Tax %,Markup,Buy Cost,Use zone default buy cost,Unit Cost,Use zone default unit cost,Description Locked,Markup Locked,Qty Locked,Buy Locked,Unit Locked,Enabled,Archived,Tags
93d8a1ca-2cb4-42ab-ad07-88c4954dd573,"Remove, set aside, and reinstate existing","Remove, set aside, and reinstate existing",scope,,"Remove, set aside, and reinstate existing",Other,Roofing,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
f1b3e731-361b-45e8-af32-c34b55d0373e,Supply and install shed to match existing,Supply and install shed to match existing,scope,,Supply and install shed to match existing,Other,Sheds,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
df980e4a-3487-4b99-a472-5883094f24a7,Shed materials,Shed materials,scope,,Shed materials,Other,Sheds,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
94d71229-31c1-4b77-a18f-251bf201a2a6,Remove and dispose existing shed,Remove and dispose existing shed,scope,,Remove and dispose existing shed,Other,Sheds,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
35729b35-252c-4d5f-aa65-3472ecc2a831,Remove and replace damaged shed to match existing,Remove and replace damaged shed to match existing,scope,,Remove and replace damaged shed to match existing,Other,Sheds,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
358064c6-382c-4939-a472-4296b410c88c,Air con unit/materials,Air con unit/materials,scope,,Air con unit/materials,Other,Heating and Cooling,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
de01df04-00fa-4193-a58e-194f4e2c6524,"Remove, set aside, and reinstate existing air con vent/register","Remove, set aside, and reinstate existing air con vent/register",scope,,"Remove, set aside, and reinstate existing air con vent/register",Other,Heating and Cooling,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
1cd467eb-dbbc-4c3a-af0d-1131997838f7,Install replacement air con register/vent to match existing,Install replacement air con register/vent to match existing,scope,,Install replacement air con register/vent to match existing,Other,Heating and Cooling,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
eae4124a-eae6-46e9-a21c-a788260b13a7,Air con grille materials,Air con grille materials,scope,,Air con grille materials,Other,Heating and Cooling,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
cccd1698-b2d3-48ac-a5e1-46a546956a5f,Remove and replace air con cover/grille to match existing,Remove and replace air con cover/grille to match existing,scope,,Remove and replace air con cover/grille to match existing,Other,Heating and Cooling,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
98c0b2ea-6391-4e19-a73a-86a20dce4f8d,Supply and install new architraves to match existing,Supply and install new architraves to match existing,scope,,Supply and install new architraves to match existing,Other,Carpentry,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
e2a8196b-6cac-436f-a734-ec5f683a71e6,Remove damaged architraves and dispose,Remove damaged architraves and dispose,scope,,Remove damaged architraves and dispose,Other,Carpentry,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
33ec90ba-d74c-498d-af16-e18649a9fad2,Remove and replace damaged architraves to match existing,Remove and replace damaged architraves to match existing,scope,,Remove and replace damaged architraves to match existing,Other,Carpentry,,,,Percentage,,,,,,,10,19,,,,,,,,,,TRUE,FALSE,
