ID,Name,Description,Type,Category,Subcategory,Category ID,Subcategory ID,Markup Type,Unit,Default Quantity,PC/PS,Low Limit Pricing Threshold,High Limit Pricing Threshold,Maximum Limit Pricing Threshold,Tax %,Markup,Buy Cost,Use zone default buy cost,Unit Cost,Use zone default unit cost,Description Locked,Markup Locked,Qty Locked,Buy Locked,Unit Locked,Enabled,Archived,Tags
0f185b68-cbb7-4d8d-be5a-abe5bde8a0c3,Adhoc - Asbestos Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Asbestos,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
ce3abeb5-810c-4482-8292-8f7916fea70f,Adhoc - Asbestos Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Asbestos,,,,Percentage,M2,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
7a6b8aa3-3672-4f86-aed6-a24db55b7cd8,Adhoc - Bricklaying Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Bricklaying,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
1991e28e-d7d3-4ffc-bd07-67cc93f371b2,Adhoc - Bricklaying Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Bricklaying,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
20c2ff78-1d31-4dac-8f1e-09e7f3901160,Adhoc - Carpentry Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Carpentry,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
6f4b0440-5401-4485-ab38-fd3bea2ae539,Adhoc - Carpentry Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Carpentry,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
47f6f2fc-17a2-4f65-b32c-6c4eae7494d6,Adhoc - Concreting Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Concreting,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
c41c8ded-edb9-4140-8a72-ecdbf7954635,Adhoc - Concreting Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Concreting,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
b2db3b89-107e-407d-ab2a-5d52b6226f91,Adhoc - Demolition Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Demolition,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
048a0b48-5d4f-48ca-9346-a6f4fa8eec14,Adhoc - Demolition Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Demolition,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
784ebcca-b5a6-4f9f-90db-28f8a7631cab,Adhoc - Electrical Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Electrical,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
e9f6619f-ff50-4e0a-8202-a9f2031f3ce1,Adhoc - Electrical Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Electrical,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
ad003b4b-3cae-443c-8747-49ee41918d34,Adhoc - Fencing Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Fencing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
aefb559a-b5ea-410f-b282-8691e876b3b4,Adhoc - Fencing Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Fencing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
8298e5a1-0556-445d-a75f-ababf7051c02,Adhoc - Flooring Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Flooring,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
f4109640-bced-49de-9051-f605fdf180a5,Adhoc - Flooring Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Flooring,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
a0935463-c7d1-4555-bb22-57d45d2b9941,Adhoc - Joinery Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Joinery,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
bfd5b3d7-c323-4778-ae9e-47a195936656,Adhoc - Joinery Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Joinery,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
7dcec715-0f32-4e70-bd3f-4d0f54204e0e,Adhoc - Landscaping Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Landscaping,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
8c8489b3-a345-4b95-9da2-d64d6d1d3f84,Adhoc - Landscaping Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Landscaping,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
ae1fbc95-6046-43f6-907f-0d8134f6a8cf,Adhoc - Maintenance Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Maintenance Wear and Tear,,,,Percentage,EA,0,,0,0,0,10,0,0,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
248dde54-a043-460c-869b-039b83946085,Adhoc - Maintenance Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"". ",Material,Maintenance Wear and Tear,,,,Percentage,EA,0,,0,0,0,10,0,0,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
caf1201f-e771-4aa1-9e5b-2279855b7a6f,Adhoc - Painting Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Painting,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
c2ef89d9-1220-435e-b423-588a4c873db1,Adhoc - Painting Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Painting,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
576f9ee6-0fff-4c95-86f8-f7b0b15e0b64,Adhoc - Plastering Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Plastering,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
776f0f3f-80d7-475e-83d4-78fe95ee6c77,Adhoc - Plastering Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Plastering,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
bd88a8a6-d117-4ad6-a183-4724f8e780b2,Adhoc - Plumbing Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Plumbing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
536cec9d-93e8-4f00-bd28-43ffca3435fc,Adhoc - Plumbing Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Plumbing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
8788ce0b-8251-4051-8da8-0a01de2e8afc,Adhoc - Rendering Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Rendering,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
91a7fb49-90b6-444a-b939-c23eed6302a6,Adhoc - Rendering Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Rendering,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
bbcd9ecd-69c7-4dba-8bda-20a2cfa314a9,Adhoc - Restoration Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Restoration,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
80b4e0c5-b2f6-490f-9eb9-623233b627b7,Adhoc - Restoration Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Restoration,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
56604dbf-21fb-43ee-b574-f232a14d05f6,Adhoc - Roofing Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Roofing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
a36b2abf-c626-4b90-818f-a3f9d171a3e3,Adhoc - Roofing Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Roofing,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
64c037de-a457-488c-83c4-d669f18177c0,Adhoc - Tiling Labour,"Add description of new labour line item and choose correct ""Unit Type"".",Labour,Tiling,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
c094244d-e815-4988-b48d-08fef6b8a30c,Adhoc - Tiling Materials / Components,"Add description of new materials/components line item and choose correct ""Unit Type"".",Material,Tiling,,,,Percentage,EA,0,,0,0,0,10,19,0,,0,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
